1. filename	2. file_number	3. dist_left	4. dist_right	5. v_left	6. v_right	7. surface_angle	8. droplet_width	9. theta_left	10. theta_right	11. center_xs	12. center_ys	13. droplet_height
E_0094_20000000169.bmp	1	0.000	0.000	0.000	0.000	0.135	309.982	59.087	131.277	66878.491	-4485.694	80.147
E_0094_20000000170.bmp	2	-2.010	1.017	-241.203	122.026	0.135	313.006	59.244	54.580	-9054.781	852.777	77.164
E_0094_20000000171.bmp	3	-1.000	1.017	121.205	0.000	0.135	311.996	54.560	53.890	-9261.330	871.011	78.178
E_0094_20000000172.bmp	4	-0.010	1.017	118.789	0.000	0.135	311.006	59.680	56.249	-11774.564	1052.177	78.185
E_0094_20000000173.bmp	5	-2.007	-0.983	-239.624	-239.994	0.169	311.004	57.104	51.823	-3721.674	485.511	77.150
E_0094_20000000174.bmp	6	-2.000	1.017	0.838	239.994	0.135	312.996	57.613	55.027	-10452.523	951.227	78.199
E_0094_20000000175.bmp	7	-1.000	1.017	119.997	0.000	0.135	311.996	55.911	53.890	-8698.957	828.352	78.108
E_0094_20000000176.bmp	8	-1.010	1.017	-1.208	0.000	0.135	312.006	57.582	54.580	-9651.635	897.938	78.157
E_0094_20000000177.bmp	9	-2.000	0.017	-118.789	-119.997	0.135	311.996	57.399	54.061	-8842.673	842.676	78.157
E_0094_20000000178.bmp	10	-1.000	1.000	119.997	117.968	0.135	311.982	59.297	125.551	47332.980	-3079.973	79.175
E_0094_20000000179.bmp	11	-2.000	0.017	-119.997	-117.968	0.135	311.996	57.399	54.102	-10240.470	942.845	78.178
E_0094_20000000180.bmp	12	0.000	1.000	239.994	117.968	0.135	310.982	56.907	121.050	44978.228	-2914.128	79.189
E_0094_20000000181.bmp	13	0.000	1.000	0.000	0.000	0.135	310.982	59.511	121.050	47910.867	-3114.490	79.175
E_0094_20000000182.bmp	14	-2.000	0.017	-239.994	-117.968	0.135	311.996	57.387	53.562	-9292.109	873.113	78.192
E_0094_20000000183.bmp	15	-0.010	0.017	238.786	0.000	0.135	310.006	59.783	54.244	-9244.152	876.799	78.185
E_0094_20000000184.bmp	16	0.000	1.000	1.208	117.968	0.135	310.982	58.350	124.291	33105.220	-2090.283	80.098
E_0094_20000000185.bmp	17	0.000	1.000	0.000	0.000	0.135	310.982	58.919	124.291	36765.334	-2341.638	79.189
